kind,name,state,lat,lon
zip,00601,,18.180555,-66.749961
zip,00602,,18.361945,-67.175597
zip,00603,,18.457399,-67.124867
zip,00606,,18.158327,-66.932928
zip,00610,,18.295304,-67.12518
zip,00611,,18.276316,-66.807165
zip,00612,,18.416727,-66.70009
zip,00616,,18.420408,-66.671986
zip,00617,,18.446889,-66.561154
zip,00622,,17.988103,-67.160357
zip,00623,,18.084371,-67.158765
zip,00624,,18.051808,-66.721711
zip,00627,,18.412423,-66.863708
zip,00631,,18.184294,-66.830795
zip,00636,,18.1636,-67.080097
zip,00637,,18.080103,-66.947975
zip,00638,,18.280188,-66.513111
zip,00641,,18.268074,-66.701785
zip,00646,,18.432897,-66.286499
zip,00647,,17.963613,-66.947127
zip,00650,,18.349209,-66.578112
zip,00652,,18.448446,-66.594111
zip,00653,,17.988642,-66.90169
zip,00656,,18.040467,-66.78968
zip,00659,,18.407304,-66.808995
zip,00660,,18.134695,-67.116199
zip,00662,,18.468301,-67.015749
zip,00664,,18.21033,-66.591616
zip,00667,,18.003422,-67.03581
zip,00669,,18.276925,-66.869587
zip,00670,,18.233585,-66.987585
zip,00674,,18.424145,-66.487895
zip,00676,,18.381597,-67.080884
zip,00677,,18.332568,-67.227022
zip,00678,,18.430503,-66.930479
zip,00680,,18.183493,-67.133054
zip,00682,,18.224864,-67.153891
zip,00683,,18.1078,-67.037263
zip,00685,,18.336887,-66.972929
zip,00687,,18.318017,-66.420392
zip,00688,,18.382305,-66.626393
zip,00690,,18.493543,-67.096915
zip,00692,,18.410652,-66.336202
zip,00693,,18.425961,-66.398098
zip,00694,,18.483127,-66.39236
zip,00698,,18.072916,-66.85119
zip,00703,,18.248401,-66.130662
zip,00704,,17.973168,-66.229011
zip,00705,,18.12896,-66.266691
zip,00707,,18.014055,-65.920751
zip,00714,,17.995867,-66.055529
zip,00715,,17.990485,-66.566143
zip,00716,,17.985014,-66.606721
zip,00717,,18.002639,-66.611087
zip,00718,,18.23201,-65.756036
zip,00719,,18.28992,-66.25344
zip,00720,,18.216608,-66.423682
zip,00723,,18.019337,-66.001862
zip,00725,,18.220689,-66.03958
zip,00727,,18.211921,-66.073355
zip,00728,,17.991071,-66.662968
zip,00729,,18.334918,-65.887078
zip,00730,,18.030882,-66.611928
zip,00731,,18.109947,-66.635622
zip,00735,,18.252179,-65.665631
zip,00736,,18.103624,-66.151667
zip,00738,,18.304458,-65.698711
zip,00739,,18.175543,-66.162102
zip,00740,,18.333961,-65.631674
zip,00741,,18.163855,-65.754042
zip,00745,,18.352176,-65.810929
zip,00751,,18.003779,-66.262905
zip,00754,,18.144582,-65.972253
zip,00757,,17.991428,-66.402337
zip,00765,,18.124207,-65.42307
zip,00766,,18.130718,-66.472244
zip,00767,,18.069489,-65.896029
zip,00769,,18.096641,-66.358335
zip,00771,,18.187148,-65.871189
zip,00772,,18.438944,-65.90522
zip,00773,,18.342888,-65.723109
zip,00775,,18.326611,-65.307771
zip,00777,,18.224327,-65.909085
zip,00778,,18.264076,-65.97851
zip,00780,,18.094076,-66.565781
zip,00782,,18.224878,-66.224482
zip,00783,,18.300221,-66.328927
zip,00784,,18.010714,-66.133615
zip,00786,,18.135725,-66.228698
zip,00791,,18.142603,-65.812812
zip,00794,,18.200018,-66.309282
zip,00795,,18.04645,-66.495142
zip,00802,,18.342939,-64.925102
zip,00820,,17.736627,-64.708215
zip,00830,,18.338559,-64.73653
zip,00840,,17.72471,-64.848522
zip,00850,,17.726822,-64.792245
zip,00851,,17.747525,-64.787439
zip,00901,,18.466594,-66.107982
zip,00906,,18.46446,-66.094995
zip,00907,,18.452271,-66.087625
zip,00909,,18.441246,-66.068766
zip,00911,,18.453656,-66.056338
zip,00912,,18.445067,-66.059942
zip,00913,,18.464629,-66.04459
zip,00915,,18.437179,-66.045571
zip,00917,,18.420674,-66.050105
zip,00918,,18.422249,-66.069081
zip,00920,,18.422439,-66.09214
zip,00921,,18.392088,-66.087109
zip,00923,,18.410804,-66.037358
zip,00924,,18.399186,-66.01258
zip,00925,,18.400271,-66.05059
zip,00926,,18.348601,-66.053929
zip,00927,,18.388202,-66.070033
zip,00934,,18.413,-66.119829
zip,00949,,18.409879,-66.227441
zip,00950,,18.467225,-66.237929
zip,00951,,18.42805,-66.259772
zip,00952,,18.428724,-66.188931
zip,00953,,18.360729,-66.251527
zip,00956,,18.321137,-66.170419
zip,00957,,18.366147,-66.188962
zip,00959,,18.385785,-66.155654
zip,00960,,18.416918,-66.142693
zip,00961,,18.409907,-66.163361
zip,00962,,18.439988,-66.1355
zip,00965,,18.430508,-66.110917
zip,00966,,18.397875,-66.113935
zip,00968,,18.406063,-66.101232
zip,00969,,18.366226,-66.110047
zip,00971,,18.318884,-66.11919
zip,00976,,18.33618,-65.994101
zip,00979,,18.438359,-65.999169
zip,00982,,18.408744,-65.991273
zip,00983,,18.41722,-65.981317
zip,00985,,18.410774,-65.947927
zip,00987,,18.343988,-65.943754
zip,01001,,42.062368,-72.625754
zip,01002,,42.377212,-72.464795
zip,01003,,42.391883,-72.523584
zip,01005,,42.418884,-72.112077
zip,01007,,42.283935,-72.400409
zip,01008,,42.192024,-72.964076
zip,01009,,42.211386,-72.341809
zip,01010,,42.128176,-72.205352
zip,01011,,42.290128,-72.966516
zip,01012,,42.375425,-72.858192
zip,01013,,42.142009,-72.595496
zip,01020,,42.172611,-72.56192
zip,01022,,42.197187,-72.541872
zip,01026,,42.470032,-72.925707
zip,01027,,42.295008,-72.751877
zip,01028,,42.062378,-72.498111
zip,01029,,42.176271,-73.035292
zip,01030,,42.072925,-72.686972
zip,01031,,42.327809,-72.191968
zip,01032,,42.457613,-72.81478
zip,01033,,42.244949,-72.500143
zip,01034,,42.093912,-72.961103
zip,01035,,42.356491,-72.568632
zip,01036,,42.071188,-72.417718
zip,01037,,42.376036,-72.197364
zip,01038,,42.379925,-72.604045
zip,01039,,42.411304,-72.690951
zip,01040,,42.211658,-72.642448
zip,01050,,42.291259,-72.874803
zip,01053,,42.356301,-72.713584
zip,01054,,42.468898,-72.484579
zip,01056,,42.183577,-72.457812
zip,01057,,42.093596,-72.321494
zip,01060,,42.321251,-72.630395
zip,01062,,42.323033,-72.701789
zip,01063,,42.319584,-72.639539
zip,01066,,42.413039,-72.623639
zip,01068,,42.353887,-72.060685
zip,01069,,42.188862,-72.30648
zip,01070,,42.519909,-72.925354
zip,01071,,42.160064,-72.87384
zip,01072,,42.456968,-72.417244
zip,01073,,42.226949,-72.741588
zip,01074,,42.380823,-72.103895
zip,01075,,42.256532,-72.580248
zip,01077,,42.05257,-72.777353
zip,01079,,42.185745,-72.33246
zip,01080,,42.185727,-72.361558
zip,01081,,42.061313,-72.234411
zip,01082,,42.299749,-72.279164
zip,01083,,42.20684,-72.198619
zip,01084,,42.361724,-72.874987
zip,01085,,42.153503,-72.771602
zip,01088,,42.3827,-72.640361
zip,01089,,42.125451,-72.649734
zip,01092,,42.191868,-72.235108
zip,01093,,42.445258,-72.645058
zip,01094,,42.369762,-72.139283
zip,01095,,42.138527,-72.420703
zip,01096,,42.410538,-72.76577
zip,01097,,42.165868,-72.830985
zip,01098,,42.397559,-72.943392
zip,01103,,42.104418,-72.59008
zip,01104,,42.132772,-72.567411
zip,01105,,42.095246,-72.577603
zip,01106,,42.045695,-72.563323
zip,01107,,42.12106,-72.607068
zip,01108,,42.082947,-72.55951
zip,01109,,42.119674,-72.549726
zip,01118,,42.094587,-72.525219
zip,01119,,42.124978,-72.51121
zip,01128,,42.092296,-72.489135
zip,01129,,42.118671,-72.488203
zip,01144,,42.101894,-72.590907
zip,01151,,42.15186,-72.509131
zip,01201,,42.454302,-73.282074
zip,01220,,42.62556,-73.119828
zip,01222,,42.062743,-73.317498
zip,01223,,42.304286,-73.111494
zip,01224,,42.503728,-73.201636
zip,01225,,42.565107,-73.149142
zip,01226,,42.479819,-73.153776
zip,01229,,42.29008,-73.354218
zip,01230,,42.173196,-73.32429
zip,01235,,42.425677,-73.063028
zip,01236,,42.274499,-73.386155
zip,01237,,42.549804,-73.261144
zip,01238,,42.300457,-73.231006
zip,01240,,42.382693,-73.266632
zip,01242,,42.333734,-73.249199
zip,01243,,42.367907,-73.054094
zip,01244,,42.117456,-73.278635
zip,01245,,42.193307,-73.218499
zip,01247,,42.695699,-73.093852
zip,01253,,42.206683,-73.113214
zip,01254,,42.382019,-73.365492
zip,01255,,42.1029,-73.125991
zip,01256,,42.594166,-73.02232
zip,01257,,42.085244,-73.367483
zip,01258,,42.09092,-73.470197
zip,01259,,42.06926,-73.228949
zip,01260,,42.261673,-73.27516
zip,01262,,42.310055,-73.324468
zip,01264,,42.234822,-73.197083
zip,01266,,42.312354,-73.388044
zip,01267,,42.671617,-73.246981
zip,01270,,42.519837,-73.04969
zip,01301,,42.626761,-72.60153
zip,01330,,42.513947,-72.821517
zip,01331,,42.570237,-72.182903
zip,01337,,42.689307,-72.582289
zip,01338,,42.575889,-72.80665
zip,01339,,42.61045,-72.887735
zip,01340,,42.68553,-72.731135
zip,01341,,42.507177,-72.701525
zip,01342,,42.543889,-72.609458
zip,01343,,42.64773,-72.969767
zip,01344,,42.613418,-72.426428
zip,01346,,42.658496,-72.806057
zip,01347,,42.563223,-72.509775
zip,01349,,42.56746,-72.467542
zip,01350,,42.727772,-72.985346
zip,01351,,42.53988,-72.521689
zip,01354,,42.624101,-72.508607
zip,01355,,42.458551,-72.327191
zip,01360,,42.677091,-72.453876
zip,01364,,42.605437,-72.292074
zip,01366,,42.491583,-72.180876
zip,01367,,42.692882,-72.919244
zip,01368,,42.676687,-72.184052
zip,01370,,42.593376,-72.726928
zip,01373,,42.475481,-72.615403
zip,01375,,42.466691,-72.546751
zip,01376,,42.591441,-72.544674
zip,01378,,42.679971,-72.339882
zip,01379,,42.527853,-72.398403
zip,01380,,42.588496,-72.406298
zip,01420,,42.584925,-71.816862
zip,01430,,42.673052,-71.920335
zip,01431,,42.676293,-71.832523
zip,01432,,42.566588,-71.575126
zip,01434,,42.53206,-71.61374
zip,01436,,42.602059,-72.087015
zip,01438,,42.561088,-72.036074
zip,01440,,42.588337,-71.986069
zip,01450,,42.611636,-71.564743
zip,01451,,42.501908,-71.568201
zip,01452,,42.495111,-72.002339
zip,01453,,42.519967,-71.763319
zip,01460,,42.535931,-71.490569
zip,01462,,42.582607,-71.720464
zip,01463,,42.670643,-71.602858
zip,01464,,42.573654,-71.640986
zip,01468,,42.542767,-72.068345
zip,01469,,42.664794,-71.695055
zip,01473,,42.5546,-71.90544
zip,01474,,42.673143,-71.748378
zip,01475,,42.66816,-72.055644
zip,01501,,42.198867,-71.845722
zip,01503,,42.384929,-71.633889
zip,01504,,42.039991,-71.532406
zip,01505,,42.355049,-71.716157
zip,01506,,42.180807,-72.107888
zip,01507,,42.133935,-71.968025
zip,01510,,42.411887,-71.690005
zip,01515,,42.209682,-72.040178
zip,01516,,42.053072,-71.752241
zip,01518,,42.108325,-72.113692
zip,01519,,42.203404,-71.679739
zip,01520,,42.334177,-71.854277
zip,01521,,42.046783,-72.180212
zip,01522,,42.375634,-71.867382
zip,01523,,42.483569,-71.675585
zip,01524,,42.246029,-71.917566
zip,01525,,42.098995,-71.642964
zip,01527,,42.192246,-71.777649
zip,01529,,42.036642,-71.578779
zip,01531,,42.326183,-72.133431
zip,01532,,42.323342,-71.646236
zip,01534,,42.138896,-71.645003
zip,01535,,42.267564,-72.066876
zip,01536,,42.231309,-71.692642
zip,01537,,42.158966,-71.897051
zip,01540,,42.113727,-71.86085
zip,01541,,42.454125,-71.87754
zip,01542,,42.204251,-71.908907
zip,01543,,42.388285,-71.969865
zip,01545,,42.284767,-71.714228
zip,01550,,42.059737,-72.033908
zip,01560,,42.175395,-71.674223
zip,01561,,42.445825,-71.688484
zip,01562,,42.247211,-71.991867
zip,01564,,42.447924,-71.776045
zip,01566,,42.103214,-72.079545
zip,01568,,42.177529,-71.606322
zip,01569,,42.055921,-71.631128
zip,01570,,42.049253,-71.846219
zip,01571,,42.053778,-71.935075
zip,01581,,42.268426,-71.613309
zip,01583,,42.375357,-71.789363
zip,01585,,42.236908,-72.162221
zip,01588,,42.116108,-71.664614
zip,01590,,42.132051,-71.750318
zip,01602,,42.269189,-71.850728
zip,01603,,42.243826,-71.843569
zip,01604,,42.253485,-71.767932
zip,01605,,42.289683,-71.787793
zip,01606,,42.313887,-71.794185
zip,01607,,42.225974,-71.788894
zip,01608,,42.26209,-71.801428
zip,01609,,42.285114,-71.829987
zip,01610,,42.247049,-71.808366
zip,01611,,42.240977,-71.877035
zip,01612,,42.296798,-71.928991
zip,01701,,42.319587,-71.4428
zip,01702,,42.282379,-71.436623
zip,01718,,42.522816,-71.430271
zip,01719,,42.485985,-71.520985
zip,01720,,42.483953,-71.438495
zip,01721,,42.257755,-71.473526
zip,01730,,42.499332,-71.281901
zip,01731,,42.464648,-71.28483
zip,01740,,42.439933,-71.601885
zip,01741,,42.536807,-71.361324
zip,01742,,42.462911,-71.364496
zip,01745,,42.292114,-71.499197
zip,01746,,42.195951,-71.45343
zip,01747,,42.123007,-71.531404
zip,01748,,42.224096,-71.540489
zip,01749,,42.389071,-71.545864
zip,01752,,42.349617,-71.547214
zip,01754,,42.425955,-71.456256
zip,01756,,42.09387,-71.544519
zip,01757,,42.158692,-71.521419
zip,01760,,42.284822,-71.348811
zip,01770,,42.231947,-71.372963
zip,01772,,42.302877,-71.530828
zip,01773,,42.425506,-71.310812
zip,01775,,42.429688,-71.512514
zip,01776,,42.383367,-71.42107
zip,01778,,42.356275,-71.361942
zip,01801,,42.488703,-71.154383
zip,01803,,42.503227,-71.201713
zip,01810,,42.648044,-71.161751
zip,01821,,42.54933,-71.251725
zip,01824,,42.59079,-71.355182
zip,01826,,42.679723,-71.30068
zip,01827,,42.676149,-71.499772
zip,01830,,42.796313,-71.053436
zip,01832,,42.791114,-71.132859
zip,01833,,42.726226,-70.983318
zip,01834,,42.7539,-71.015935
zip,01835,,42.751325,-71.094411
zip,01840,,42.706763,-71.160403
zip,01841,,42.715079,-71.1483
zip,01843,,42.689988,-71.16039
zip,01844,,42.742641,-71.178651
zip,01845,,42.673909,-71.091334
zip,01850,,42.656045,-71.303309
zip,01851,,42.627999,-71.336757
zip,01852,,42.632978,-71.295616
zip,01854,,42.649481,-71.348229
zip,01860,,42.838603,-71.011997
zip,01862,,42.578543,-71.295592
zip,01863,,42.630484,-71.397895
zip,01864,,42.578401,-71.084448
zip,01867,,42.535183,-71.105423
zip,01876,,42.611893,-71.227226
zip,01879,,42.667762,-71.42882
zip,01880,,42.504361,-71.064061
zip,01886,,42.585541,-71.44025
zip,01887,,42.564647,-71.164516
zip,01890,,42.452752,-71.144319
zip,01901,,42.460419,-70.946379
zip,01902,,42.471039,-70.941535
zip,01904,,42.491447,-70.971441
zip,01905,,42.462378,-70.972343
zip,01906,,42.469675,-71.012785
zip,01907,,42.474145,-70.906597
zip,01908,,42.428234,-70.926071
zip,01913,,42.851277,-70.955792
zip,01915,,42.570442,-70.867693
zip,01921,,42.683108,-71.027188
zip,01922,,42.757313,-70.914241
zip,01923,,42.574174,-70.950516
zip,01929,,42.640451,-70.771165
zip,01930,,42.620291,-70.677956
zip,01937,,42.585723,-70.984051
zip,01938,,42.686464,-70.839594
zip,01940,,42.534146,-71.038333
zip,01944,,42.576636,-70.767154
zip,01945,,42.504317,-70.851542
zip,01949,,42.610322,-71.006295
zip,01950,,42.812358,-70.891095
zip,01951,,42.773351,-70.850211
zip,01952,,42.844794,-70.841499
zip,01960,,42.53431,-70.969443
zip,01965,,42.564101,-70.824723
zip,01966,,42.640699,-70.62025
zip,01969,,42.721495,-70.886637
zip,01970,,42.529248,-70.868017
zip,01982,,42.626223,-70.85723
zip,01983,,42.641387,-70.943383
zip,01984,,42.600668,-70.88326
zip,01985,,42.799565,-70.964428
zip,02019,,42.076682,-71.47449
zip,02021,,42.175737,-71.125385
zip,02025,,42.236428,-70.814333
zip,02026,,42.246872,-71.179462
zip,02030,,42.23416,-71.291167
zip,02032,,42.156882,-71.216187
zip,02035,,42.061338,-71.245802
zip,02038,,42.084858,-71.410571
zip,02043,,42.216098,-70.88127
zip,02045,,42.28587,-70.879517
zip,02047,,42.145534,-70.69505
zip,02048,,42.017302,-71.21642
zip,02050,,42.115139,-70.710331
zip,02052,,42.184599,-71.305307
zip,02053,,42.156203,-71.430345
zip,02054,,42.173103,-71.363756
zip,02056,,42.116244,-71.329274
zip,02061,,42.164569,-70.818844
zip,02062,,42.187389,-71.192477
zip,02066,,42.202273,-70.758184
zip,02067,,42.1076,-71.181828
zip,02071,,42.106425,-71.268951
zip,02072,,42.119006,-71.10365
zip,02081,,42.147403,-71.257972
zip,02090,,42.219645,-71.216768
zip,02093,,42.052671,-71.356858
zip,02108,,42.355097,-71.065737
zip,02109,,42.366919,-71.050416
zip,02110,,42.358254,-71.051927
zip,02111,,42.35068,-71.060527
zip,02113,,42.365264,-71.055222
zip,02114,,42.363651,-71.066888
zip,02115,,42.339422,-71.094531
zip,02116,,42.350979,-71.076591
zip,02118,,42.33786,-71.069805
zip,02119,,42.324066,-71.085188
zip,02120,,42.332134,-71.096606
zip,02121,,42.305403,-71.086971
zip,02122,,42.295088,-71.052533
zip,02124,,42.285922,-71.075046
zip,02125,,42.315682,-71.055555
zip,02126,,42.277436,-71.089968
zip,02127,,42.335301,-71.038216
zip,02128,,42.361519,-71.007393
zip,02129,,42.379657,-71.061487
zip,02130,,42.308175,-71.113471
zip,02131,,42.282323,-71.124746
zip,02132,,42.279082,-71.160449
zip,02133,,42.358352,-71.063858
zip,02134,,42.358786,-71.129581
zip,02135,,42.349688,-71.153964
zip,02136,,42.254749,-71.127072
zip,02138,,42.379637,-71.135152
zip,02139,,42.362391,-71.102336
zip,02140,,42.392157,-71.133996
zip,02141,,42.3703,-71.08256
zip,02142,,42.362505,-71.08096
zip,02143,,42.3814,-71.09672
zip,02144,,42.400077,-71.123088
zip,02145,,42.391577,-71.08991
zip,02148,,42.42938,-71.058706
zip,02149,,42.405938,-71.054649
zip,02150,,42.396824,-71.031348
zip,02151,,42.41829,-71.001251
zip,02152,,42.377382,-70.977026
zip,02155,,42.42384,-71.107673
zip,02163,,42.367226,-71.125092
zip,02169,,42.240016,-71.015205
zip,02170,,42.266415,-71.015576
zip,02171,,42.29147,-71.025822
zip,02176,,42.455723,-71.059019
zip,02180,,42.474208,-71.097665
zip,02184,,42.206188,-71.00232
zip,02186,,42.241559,-71.082437
zip,02188,,42.204662,-70.957633
zip,02189,,42.211968,-70.929639
zip,02190,,42.166731,-70.952363
zip,02191,,42.245077,-70.946528
zip,02199,,42.347476,-71.082033
zip,02203,,42.361445,-71.059453
zip,02205,,42.349403,-71.055621
zip,02210,,42.348036,-71.039283
zip,02215,,42.347635,-71.103082
zip,02301,,42.078371,-71.042304
zip,02302,,42.088907,-70.998375
zip,02322,,42.132461,-71.054013
zip,02324,,41.972376,-70.978773
zip,02325,,41.990101,-70.962408
zip,02330,,41.875179,-70.746715
zip,02332,,42.044407,-70.70606
zip,02333,,42.037116,-70.942178
zip,02338,,42.002634,-70.863706
zip,02339,,42.122956,-70.85631
zip,02341,,42.05024,-70.867359
zip,02343,,42.140346,-70.997861
zip,02346,,41.878004,-70.869267
zip,02347,,41.834384,-70.956826
zip,02350,,42.021013,-70.845791
zip,02351,,42.115764,-70.956597
zip,02356,,42.060539,-71.119671
zip,02357,,42.063974,-71.077368
zip,02359,,42.067804,-70.805713
zip,02360,,41.882062,-70.631289
zip,02364,,41.987196,-70.741942
zip,02366,,41.848753,-70.661176
zip,02367,,41.9591,-70.802753
zip,02368,,42.178993,-71.052654
zip,02370,,42.129251,-70.908736
zip,02375,,42.00569,-71.078041
zip,02379,,42.021617,-71.026717
zip,02382,,42.078974,-70.93939
zip,02420,,42.459061,-71.217728
zip,02421,,42.438547,-71.239573
zip,02445,,42.325483,-71.135045
zip,02446,,42.343499,-71.122244
zip,02451,,42.40153,-71.252997
zip,02452,,42.395609,-71.219947
zip,02453,,42.368685,-71.241103
zip,02457,,42.298309,-71.27302
zip,02458,,42.353585,-71.188192
zip,02459,,42.314779,-71.192017
zip,02460,,42.351824,-71.20849
zip,02461,,42.317362,-71.206508
zip,02462,,42.331675,-71.255947
zip,02464,,42.312975,-71.218882
zip,02465,,42.349533,-71.227339
zip,02466,,42.345514,-71.247661
zip,02467,,42.314321,-71.152778
zip,02468,,42.329175,-71.231583
zip,02472,,42.369451,-71.177925
zip,02474,,42.420949,-71.15637
zip,02476,,42.41648,-71.173487
zip,02478,,42.395317,-71.180284
zip,02481,,42.310514,-71.277769
zip,02482,,42.293274,-71.296442
zip,02492,,42.276483,-71.243714
zip,02493,,42.360502,-71.303433
zip,02494,,42.299563,-71.231215
zip,02532,,41.749522,-70.594928
zip,02534,,41.669004,-70.61528
zip,02535,,41.337961,-70.761674
zip,02536,,41.596295,-70.567471
zip,02537,,41.728421,-70.43581
zip,02538,,41.777378,-70.642447
zip,02539,,41.377655,-70.52208
zip,02540,,41.569466,-70.627202
zip,02542,,41.707839,-70.54552
zip,02543,,41.472422,-70.785049
zip,02553,,41.713138,-70.622283
zip,02554,,41.290114,-70.096294
zip,02556,,41.639447,-70.624515
zip,02557,,41.446403,-70.561761
